project_id,project_name,project_type,work_category,state,district,constituency,location,latitude,longitude,estimated_cost,sanctioned_amount,released_amount,utilized_amount,actual_cost,number_of_payments,sanction_date,work_order_date,planned_completion_date,actual_completion_date,delay_days,physical_progress,financial_progress,work_status,inspection_count,last_inspection_date,issues_reported,issues_resolved,implementing_agency,agency_type,contractor_id,contractor_name,contract_value,tender_id,estimated_tender_value,bid_count,winning_bid,second_lowest_bid,procurement_method,estimated_beneficiaries,population_served,dataset_type
MPLAD-BRI-0001,Bridge Project 1,bridge,bridge,Karnataka,District A,Constituency 13,Location 1,13.58651,71.63092,4835000.0,4882701.38,3646428.7,2404009.92,5236297.68,3,2023-04-02,2023-05-04,2024-02-28,2024-03-16,17,62.3,66.0,Completed,2,2023-05-26,3,0,PWD,Government,CONT-5803,Contractor 41,4572151.69,TND-91070,4846969.73,5,4136691.7,4353774.8,Limited Tender,2680,2926,synthetic
MPLAD-BRI-0002,Bridge Project 2,bridge,bridge,Tamil Nadu,District B,Constituency 12,Location 2,12.43651,87.45252,4421000.0,4634636.37,3893228.34,3608155.86,4401616.12,2,2023-01-12,2023-02-05,2023-12-02,,12,11.1,15.5,Ongoing,2,2023-08-18,1,0,Municipal Corporation,Government,CONT-4432,Contractor 43,4238231.84,TND-44993,4280516.57,5,3838581.75,4038214.11,Direct Contract,4147,3997,synthetic
MPLAD-BRI-0003,Bridge Project 3,bridge,bridge,Bihar,District B,Constituency 6,Location 3,23.62585,86.46927,4971000.0,4884773.42,4255288.26,3395366.92,5377717.27,9,2023-06-24,2023-07-08,2024-05-03,2024-05-20,17,98.4,100.0,Completed,5,2023-10-03,1,0,Rural Development Dept,Government,CONT-7216,Contractor 18,4789609.31,TND-93886,4918745.6,4,4327642.04,4635485.37,Direct Contract,3285,3540,synthetic
MPLAD-BRI-0004,Bridge Project 4,bridge,bridge,Uttar Pradesh,District A,Constituency 11,Location 4,13.98301,77.38689,5380000.0,5289023.14,3803164.67,2731331.25,5680335.98,4,2023-05-23,2023-06-16,2024-04-11,2024-05-18,37,85.5,89.4,Completed,2,2023-07-14,4,1,Rural Development Dept,Government,CONT-5386,Contractor 5,4929068.38,TND-37653,5127908.9,2,4600520.89,4834489.9,Direct Contract,2461,2638,synthetic
MPLAD-BRI-0005,Bridge Project 5,bridge,bridge,Karnataka,District B,Constituency 9,Location 5,10.87677,76.07707,4592000.0,4766710.83,4229532.14,3012868.31,4930413.1,6,2023-03-22,2023-04-14,2024-02-08,2024-03-08,29,64.2,63.8,Completed,3,2023-11-02,0,0,Zilla Parishad,Government,CONT-5040,Contractor 48,4578928.96,TND-83579,4362638.96,6,4271501.63,4274471.23,Direct Contract,1406,1218,synthetic
MPLAD-BRI-0006,Bridge Project 6,bridge,bridge,Tamil Nadu,District B,Constituency 5,Location 6,26.27887,74.27748,4733000.0,4760499.68,3909088.36,2441847.44,4518552.76,6,2023-03-09,2023-04-15,2024-02-09,,7,65.7,67.8,Ongoing,2,2023-11-05,2,1,Rural Development Dept,Government,CONT-2489,Contractor 49,4742966.84,TND-16175,4747641.34,3,4737422.37,4852094.18,Open Tender,2506,2510,synthetic
MPLAD-BRI-0007,Bridge Project 7,bridge,bridge,Karnataka,District A,Constituency 13,Location 7,13.01772,79.74606,5447000.0,5466486.47,3974610.87,3646367.43,5765009.08,3,2023-02-09,2023-03-01,2023-12-26,,-1,35.7,32.6,Ongoing,0,,2,1,Rural Development Dept,Government,CONT-8668,Contractor 34,5429438.43,TND-42953,5269627.39,2,4793441.74,5041622.83,Direct Contract,3289,3356,synthetic
MPLAD-BRI-0008,Bridge Project 8,bridge,bridge,Tamil Nadu,District C,Constituency 4,Location 8,15.80959,83.43685,5125000.0,4958414.4,4931889.38,3927370.23,4905329.72,8,2023-01-03,2023-01-20,2023-11-16,2023-12-06,20,95.3,92.2,Completed,6,2023-10-21,4,3,Municipal Corporation,Government,CONT-8123,Contractor 11,4985815.57,TND-69470,5098567.37,6,4505300.09,4826158.2,Open Tender,3300,2874,synthetic
MPLAD-BRI-0009,Bridge Project 9,bridge,bridge,Maharashtra,District C,Constituency 17,Location 9,15.93801,79.94977,4787000.0,4592492.11,3721364.05,2607845.96,4988423.32,3,2023-03-09,2023-04-20,2024-02-14,,34,29.5,34.2,Ongoing,6,2024-01-04,2,0,Zilla Parishad,Government,CONT-3504,Contractor 24,4771781.38,TND-31174,4632432.88,5,4264115.91,4383323.68,Direct Contract,3196,3470,synthetic
MPLAD-BRI-0010,Bridge Project 10,bridge,bridge,Maharashtra,District A,Constituency 12,Location 10,27.44272,85.6073,4842000.0,4636382.66,3670666.37,2468692.69,5544491.38,7,2023-05-16,2023-05-26,2024-03-21,2024-04-08,18,74.9,73.8,Completed,3,2024-01-31,2,1,Municipal Corporation,Government,CONT-4923,Contractor 4,4974188.87,TND-41571,4666052.05,7,4217754.91,4341584.75,Direct Contract,1950,2033,synthetic
